Date : 2022-11-19 19:02:07
Directory : e:\Development\Orion
Total : 2048 files,  421928 codes, 70987 comments, 60319 blanks, all 553234 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| Orion\vendor\imgui\examples\example_win32_directx10                                                                |          2 |        179 |         53 |         40 |        272 |
| Orion\vendor\imgui\examples\example_win32_directx11                                                                |          2 |        192 |         61 |         42 |        295 |
| Orion\vendor\imgui\examples\example_win32_directx12                                                                |          2 |        361 |         61 |         73 |        495 |
| Orion\vendor\imgui\examples\example_win32_directx9                                                                 |          2 |        184 |         55 |         41 |        280 |
| Orion\vendor\imgui\examples\libs                                                                                   |          4 |      1,014 |      4,344 |        385 |      5,743 |
| Orion\vendor\imgui\examples\libs\glfw                                                                              |          2 |        552 |      3,913 |        220 |      4,685 |
| Orion\vendor\imgui\examples\libs\glfw\include                                                                      |          2 |        552 |      3,913 |        220 |      4,685 |
| Orion\vendor\imgui\examples\libs\glfw\include\GLFW                                                                 |          2 |        552 |      3,913 |        220 |      4,685 |
| Orion\vendor\imgui\examples\libs\usynergy                                                                          |          2 |        462 |        431 |        165 |      1,058 |
| Orion\vendor\imgui\misc                                                                                            |          7 |        947 |        218 |        204 |      1,369 |
| Orion\vendor\imgui\misc\cpp                                                                                        |          2 |         63 |         13 |         16 |         92 |
| Orion\vendor\imgui\misc\fonts                                                                                      |          1 |        283 |         43 |         63 |        389 |
| Orion\vendor\imgui\misc\freetype                                                                                   |          3 |        593 |        154 |        122 |        869 |
| Orion\vendor\imgui\misc\single_file                                                                                |          1 |          8 |          8 |          3 |         19 |
| Orion\vendor\spdlog                                                                                                |        145 |     37,293 |      4,110 |      7,303 |     48,706 |
| Orion\vendor\spdlog\bench                                                                                          |          5 |        522 |        106 |        101 |        729 |
| Orion\vendor\spdlog\example                                                                                        |          1 |        258 |         70 |         50 |        378 |
| Orion\vendor\spdlog\include                                                                                        |        100 |     19,649 |      2,693 |      3,357 |     25,699 |
| Orion\vendor\spdlog\include\spdlog                                                                                 |        100 |     19,649 |      2,693 |      3,357 |     25,699 |
| Orion\vendor\spdlog\include\spdlog\cfg                                                                             |          4 |        145 |         53 |         37 |        235 |
| Orion\vendor\spdlog\include\spdlog\details                                                                         |         27 |      2,323 |        264 |        522 |      3,109 |
| Orion\vendor\spdlog\include\spdlog\fmt                                                                             |         21 |     12,052 |      1,648 |      1,649 |     15,349 |
| Orion\vendor\spdlog\include\spdlog\fmt\bundled                                                                     |         14 |     11,779 |      1,577 |      1,599 |     14,955 |
| Orion\vendor\spdlog\include\spdlog\sinks                                                                           |         32 |      2,412 |        328 |        556 |      3,296 |
| Orion\vendor\spdlog\logos                                                                                          |          1 |         43 |          0 |          1 |         44 |
| Orion\vendor\spdlog\scripts                                                                                        |          2 |         23 |          2 |         10 |         35 |
| Orion\vendor\spdlog\src                                                                                            |          7 |        180 |         30 |         52 |        262 |
| Orion\vendor\spdlog\tests                                                                                          |         26 |     15,998 |      1,191 |      3,632 |     20,821 |
| Orion\vendor\stb_image                                                                                             |          2 |      5,775 |      1,268 |        859 |      7,902 |
| Sandbox                                                                                                            |          6 |        430 |        112 |        189 |        731 |
| Sandbox\src                                                                                                        |          5 |        390 |        112 |        180 |        682 |
| Sandbox\src\test                                                                                                   |          2 |        174 |         68 |         40 |        282 |
| Scripts                                                                                                            |          1 |          4 |          0 |          0 |          4 |
+--------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                           | language         | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| e:\Development\Orion\Orion-Editor\imgui.ini                                                                        | Ini              |         86 |          0 |         18 |        104 |
| e:\Development\Orion\Orion-Editor\src\EditLayer2D.h                                                                | C                |         96 |         33 |         70 |        199 |
| e:\Development\Orion\Orion-Editor\src\EditLayer3D.h                                                                | C                |        274 |         51 |        150 |        475 |
| e:\Development\Orion\Orion-Editor\src\OrionEditorApp.cpp                                                           | C++              |         21 |          1 |         12 |         34 |
| e:\Development\Orion\Orion-Editor\src\test\Skeleton.cpp                                                            | C++              |        133 |         67 |         23 |        223 |
| e:\Development\Orion\Orion-Editor\src\test\Skeleton.h                                                              | C                |         41 |          1 |         17 |         59 |
| e:\Development\Orion\Orion\src\Orion.h                                                                             | C                |         28 |          8 |         20 |         56 |
| e:\Development\Orion\Orion\src\Orion\Core\AdvanceCamerasFamily\CamerasController.cpp                               | C++              |         99 |          1 |         23 |        123 |
| e:\Development\Orion\Orion\src\Orion\Core\AdvanceCamerasFamily\CamerasController.h                                 | C                |         33 |          1 |         14 |         48 |
| e:\Development\Orion\Orion\src\Orion\Core\AnimationLib2D\AnimationLibrary.cpp                                      | C++              |        187 |          0 |         85 |        272 |
| e:\Development\Orion\Orion\src\Orion\Core\AnimationLib2D\AnimationLibrary.h                                        | C                |         35 |          0 |         15 |         50 |
| e:\Development\Orion\Orion\src\Orion\Core\Application.cpp                                                          | C++              |         82 |          2 |         27 |        111 |
| e:\Development\Orion\Orion\src\Orion\Core\Application.h                                                            | C                |         38 |          1 |         18 |         57 |
| e:\Development\Orion\Orion\src\Orion\Core\ConstValues.h                                                            | C                |         12 |          0 |          1 |         13 |
| e:\Development\Orion\Orion\src\Orion\Core\Core.h                                                                   | C                |         72 |         13 |         13 |         98 |
| e:\Development\Orion\Orion\src\Orion\Core\EntryPoint.h                                                             | C                |         17 |          0 |          6 |         23 |
| e:\Development\Orion\Orion\src\Orion\Core\Input.h                                                                  | C                |         18 |          0 |          8 |         26 |
| e:\Development\Orion\Orion\src\Orion\Core\Instrumentor.h                                                           | C                |        115 |          1 |         27 |        143 |
| e:\Development\Orion\Orion\src\Orion\Core\KeyCodes.h                                                               | C                |        122 |          2 |          5 |        129 |
| e:\Development\Orion\Orion\src\Orion\Core\Log.cpp                                                                  | C++              |         15 |          0 |          8 |         23 |
| e:\Development\Orion\Orion\src\Orion\Core\Log.h                                                                    | C                |         25 |          4 |          7 |         36 |
| e:\Development\Orion\Orion\src\Orion\Core\MathHelper.h                                                             | C                |         26 |          1 |          7 |         34 |
| e:\Development\Orion\Orion\src\Orion\Core\MouseButtonCodes.h                                                       | C                |         13 |          1 |          1 |         15 |
| e:\Development\Orion\Orion\src\Orion\Core\OpenGLDefines.h                                                          | C                |         12 |          0 |          6 |         18 |
| e:\Development\Orion\Orion\src\Orion\Core\TimeHelper.cpp                                                           | C++              |         14 |          0 |          5 |         19 |
| e:\Development\Orion\Orion\src\Orion\Core\TimeHelper.h                                                             | C                |         57 |          3 |         18 |         78 |
| e:\Development\Orion\Orion\src\Orion\Core\Window.h                                                                 | C                |         48 |          1 |         15 |         64 |
| e:\Development\Orion\Orion\src\Orion\Events\ApplicationEvent.h                                                     | C                |         50 |          0 |         20 |         70 |
| e:\Development\Orion\Orion\src\Orion\Events\Event.h                                                                | C                |         60 |          1 |         15 |         76 |
| e:\Development\Orion\Orion\src\Orion\Events\KeyEvent.h                                                             | C                |         61 |          0 |         19 |         80 |
| e:\Development\Orion\Orion\src\Orion\Events\MouseEvent.h                                                           | C                |         72 |          0 |         20 |         92 |
| e:\Development\Orion\Orion\src\Orion\ImGui\ImGuiBuild.cpp                                                          | C++              |          4 |          0 |          3 |          7 |
| e:\Development\Orion\Orion\src\Orion\ImGui\ImGuiLayer.cpp                                                          | C++              |         72 |         11 |         21 |        104 |
| e:\Development\Orion\Orion\src\Orion\ImGui\ImGuiLayer.h                                                            | C                |         23 |          0 |         15 |         38 |
| e:\Development\Orion\Orion\src\Orion\Layers\Layer.cpp                                                              | C++              |          9 |          0 |          4 |         13 |
| e:\Development\Orion\Orion\src\Orion\Layers\Layer.h                                                                | C                |         23 |          0 |          7 |         30 |
| e:\Development\Orion\Orion\src\Orion\Layers\LayerStack.cpp                                                         | C++              |         39 |          0 |         17 |         56 |
| e:\Development\Orion\Orion\src\Orion\Layers\LayerStack.h                                                           | C                |         20 |          0 |         15 |         35 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\DummyCamera.cpp                                              | C++              |         95 |          2 |         30 |        127 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\DummyCamera.h                                                | C                |         88 |          0 |         49 |        137 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\OrthographicCamera.cpp                                       | C++              |         69 |          1 |         26 |         96 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\OrthographicCamera.h                                         | C                |         25 |          1 |         16 |         42 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\PerspectiveCamera.cpp                                        | C++              |        122 |          0 |         44 |        166 |
| e:\Development\Orion\Orion\src\Orion\Renderer\Cameras\PerspectiveCamera.h                                          | C                |         26 |          0 |         16 |         42 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Buffer.cpp                                              | C++              |         46 |          0 |          9 |         55 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Buffer.h                                                | C                |        109 |          0 |         31 |        140 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Framebuffer.cpp                                         | C++              |         20 |          0 |          3 |         23 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Framebuffer.h                                           | C                |         33 |          0 |         27 |         60 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Shader.cpp                                              | C++              |         79 |          0 |         12 |         91 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Shader.h                                                | C                |         39 |          0 |         36 |         75 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\SubTexture.cpp                                          | C++              |         32 |          0 |         19 |         51 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\SubTexture.h                                            | C                |         26 |          0 |          6 |         32 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Texture.cpp                                             | C++              |         61 |          0 |         22 |         83 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\Texture.h                                               | C                |         42 |          1 |         25 |         68 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\VertexArray.cpp                                         | C++              |         20 |          0 |          8 |         28 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsCore\VertexArray.h                                           | C                |         17 |          0 |         14 |         31 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\DirectionalLight.cpp                    | C++              |         47 |          0 |         18 |         65 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\DirectionalLight.h                      | C                |         32 |          0 |          9 |         41 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\PointLight.cpp                          | C++              |         63 |          0 |         18 |         81 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\PointLight.h                            | C                |         40 |          0 |         11 |         51 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\SpotLight.cpp                           | C++              |         49 |          0 |         22 |         71 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightCasters\SpotLight.h                             | C                |         42 |          2 |         14 |         58 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightSource.cpp                                      | C++              |          2 |          0 |          3 |          5 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\LightSource.h                                        | C                |         41 |          0 |         18 |         59 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\Mesh.cpp                                             | C++              |         58 |          1 |         20 |         79 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\Mesh.h                                               | C                |         50 |          0 |         10 |         60 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\Model.cpp                                            | C++              |        275 |         49 |        106 |        430 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsObjects\Model.h                                              | C                |         58 |          3 |         29 |         90 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\AnimationRenderer2D.cpp                            | C++              |        237 |          4 |         46 |        287 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\AnimationRenderer2D.h                              | C                |        104 |          0 |         34 |        138 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\GraphicsContext.h                                  | C                |         10 |          0 |          3 |         13 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\RenderCommand.cpp                                  | C++              |          7 |          0 |          3 |         10 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\RenderCommand.h                                    | C                |         63 |          0 |         17 |         80 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\Renderer.cpp                                       | C++              |        274 |          3 |        131 |        408 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\Renderer.h                                         | C                |         41 |          0 |         21 |         62 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\Renderer2D.cpp                                     | C++              |        375 |         43 |        127 |        545 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\Renderer2D.h                                       | C                |         55 |          1 |         29 |         85 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\RendererAPI.cpp                                    | C++              |          6 |          0 |          3 |          9 |
| e:\Development\Orion\Orion\src\Orion\Renderer\GraphicsRendering\RendererAPI.h                                      | C                |         31 |          0 |         11 |         42 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\CubemapDepthShader.glsl                              | GLSL             |         57 |          3 |         17 |         77 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\CubemapShader.glsl                                   | GLSL             |         26 |          0 |         11 |         37 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\GaussianBlurShader.glsl                              | GLSL             |         39 |          0 |         17 |         56 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\LightShader.glsl                                     | GLSL             |         23 |          0 |         21 |         44 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\LineShader.glsl                                      | GLSL             |         19 |          0 |         11 |         30 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\PhongShader.glsl                                     | GLSL             |        256 |         25 |        121 |        402 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\PostProcessingShader .glsl                           | GLSL             |         30 |          2 |         14 |         46 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\QuadShader.glsl                                      | GLSL             |         28 |          1 |         14 |         43 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\SelectModelShader.glsl                               | GLSL             |         31 |          0 |         20 |         51 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\DefaultShaders\TextureDepthShader.glsl                              | GLSL             |         29 |          4 |         16 |         49 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\OpenGLBuffer.cpp                                                    | C++              |         66 |          6 |         23 |         95 |
| e:\Development\Orion\Orion\src\Platform\OpenGL\OpenGLBuffer.h                                                      | C                |         33 |          0 |         12 |         45 |
